Date,classification,Sentiment_Score,total_volume_usd,net_pnl,trade_count,pnl_volatility
2024-03-02,Extreme Greed,2.0,63197.56,230.90060000000005,31,250.64780257055287
2024-03-03,Extreme Greed,2.0,390745.68,8361.086245,79,199.82398269178753
2024-03-04,Extreme Greed,2.0,1577996.87,27799.775742,300,152.8211043688667
2024-03-05,Extreme Greed,2.0,841810.32,19791.026041,180,195.65804028577477
2024-03-06,Extreme Greed,2.0,327218.02,6814.825139,82,146.9693030530839
2024-03-08,Extreme Greed,2.0,183583.18,4271.886236,67,148.75855367571137
2024-03-09,Extreme Greed,2.0,658178.75,9949.501624,117,154.56552113291943
2024-03-10,Extreme Greed,2.0,219973.85,2482.9272,42,207.7542700001469
2024-03-11,Extreme Greed,2.0,176519.44999999998,3588.179495,42,196.10462239183906
2024-03-12,Extreme Greed,2.0,103040.85,3039.166,8,521.6006618377291
2024-03-13,Extreme Greed,2.0,6000.799999999999,0.0,7,0.0
2024-03-14,Extreme Greed,2.0,205933.18,3465.865832,18,254.30826281723253
2024-03-15,Extreme Greed,2.0,351894.41,6236.513651,62,195.43403376403242
2024-03-16,Extreme Greed,2.0,37223.66,228.57984,8,80.815177453268
2024-03-17,Extreme Greed,2.0,99506.95,503.293955,23,43.52556412856168
2024-03-18,Extreme Greed,2.0,90458.08,1456.9577,19,275.58147845163944
2024-03-19,Extreme Greed,2.0,219884.84,668.797973,24,103.69610917201797
2024-03-20,Greed,1.0,215705.85,6423.134599,69,320.69467412818193
2024-03-21,Extreme Greed,2.0,117895.57,2335.5080749999997,28,153.73594964500796
2024-03-24,Greed,1.0,92592.20999999999,1297.018477,19,84.64288646631248
2024-03-25,Extreme Greed,2.0,57116.32,1302.916428,7,173.14631124356953
2024-03-26,Extreme Greed,2.0,198565.19,3215.906593,118,39.504335702364344
2024-03-27,Extreme Greed,2.0,99864.79,150.41114,38,13.739361367709469
2024-03-28,Extreme Greed,2.0,35323.72,227.85100799999998,13,21.04651492781009
2024-03-29,Extreme Greed,2.0,86914.37,883.097404,15,95.5086831563824
2024-03-30,Extreme Greed,2.0,101103.92,1100.57514,45,52.44350104198017
2024-03-31,Extreme Greed,2.0,39912.96,912.786145,13,112.05139600499244
2024-04-01,Extreme Greed,2.0,339470.47,2507.963406,77,92.06770180124278
2024-04-02,Extreme Greed,2.0,239664.50999999998,883.760812,41,78.23542802217051
2024-04-03,Greed,1.0,16887.57,126.7884,4,63.3942
2024-04-04,Greed,1.0,95987.73,0.0,32,0.0
2024-04-05,Extreme Greed,2.0,503791.8,10706.484306,100,304.1028007265851
2024-04-06,Extreme Greed,2.0,68223.67,236.33513399999998,16,42.149058574016486
2024-04-07,Extreme Greed,2.0,49988.14,0.0,23,0.0
2024-04-08,Extreme Greed,2.0,211940.64,1218.4267,30,222.45326275219327
2024-04-09,Extreme Greed,2.0,57063.840000000004,0.0,3,0.0
2024-04-10,Extreme Greed,2.0,351735.97,5207.443414,41,197.76893722954745
2024-04-11,Extreme Greed,2.0,76400.96,389.743164,16,69.72639235953248
2024-04-12,Extreme Greed,2.0,442088.59,-592.6458390000001,129,122.96278242038903
2024-04-13,Greed,1.0,486411.25,6621.451755,89,185.05277424135176
2024-04-14,Greed,1.0,659162.17,-36104.012520000004,107,2139.677020173523
2024-04-15,Greed,1.0,291111.19,3774.08872,41,165.5095385447801
2024-04-16,Greed,1.0,181907.17,2467.702221,47,103.5102238356102
2024-04-17,Greed,1.0,97562.99,2441.4683999999997,14,232.6697853775852
2024-04-19,Greed,1.0,337257.92000000004,1946.4454620000001,35,114.02941773198246
2024-04-20,Greed,1.0,60733.24,0.0,22,0.0
2024-04-22,Greed,1.0,47993.61,0.0,9,0.0
2024-04-23,Greed,1.0,233054.9,1119.536196,66,69.72604971216398
2024-04-24,Greed,1.0,141275.24,279.185907,20,47.020172247729526
2024-04-25,Greed,1.0,120241.01,0.0,74,0.0
2024-04-26,Greed,1.0,4988.290000000001,0.0,3,0.0
2024-04-27,Greed,1.0,154264.47,4281.488139,27,205.65189595972714
2024-04-28,Greed,1.0,43985.6,0.0,58,0.0
2024-04-29,Greed,1.0,108699.01,526.9338359999999,45,34.303515225260476
2024-04-30,Greed,1.0,125018.75,0.0,24,0.0
2024-05-01,Neutral,0.0,87025.45,0.0,14,0.0
2024-05-03,Neutral,0.0,282682.64999999997,5306.017045,36,280.85451321791754
2024-05-04,Greed,1.0,58998.75,0.0,9,0.0
2024-05-05,Greed,1.0,24068.350000000002,0.916,6,0.37395543406489856
2024-05-06,Greed,1.0,206016.43,968.59038,9,237.64601629026436
2024-05-07,Greed,1.0,108717.58,883.537693,18,57.79243416391551
2024-05-08,Greed,1.0,65973.57,1.56576,13,1.641780493282545
2024-05-09,Greed,1.0,221966.12,1147.595856,28,92.95513364107583
2024-05-10,Greed,1.0,156882.0,2101.741695,22,240.61922882162773
2024-05-11,Neutral,0.0,63248.95,251.604742,9,38.73340875071258
2024-05-12,Greed,1.0,55179.56,0.0,23,0.0
2024-05-13,Greed,1.0,193118.9,2136.853859,28,243.34956677379947
2024-05-14,Greed,1.0,145853.4,1150.5233050000002,23,172.16967241498202
2024-05-15,Greed,1.0,234922.57,948.970582,36,49.856725134153635
2024-05-16,Greed,1.0,162620.96,214.5898,27,22.074222982345514
2024-05-18,Greed,1.0,126303.14,3522.3946610000003,25,227.39973415277277
2024-05-19,Greed,1.0,29998.09,0.0,8,0.0
2024-05-20,Greed,1.0,38124.75,-74.818442,10,17.723593661416892
2024-05-21,Extreme Greed,2.0,1100948.59,7289.397571999999,125,423.27708989145884
2024-05-22,Extreme Greed,2.0,44995.29,0.0,6,0.0
2024-05-23,Extreme Greed,2.0,401850.6,413.347329,325,5.578175006741024
2024-05-24,Greed,1.0,50811.899999999994,821.949278,2,255.14111984227185
2024-05-25,Extreme Greed,2.0,29991.129999999997,14.126038999999999,16,1.5788774135169148
2024-05-26,Extreme Greed,2.0,53976.67,778.6839,16,184.14441743928418
2024-05-27,Greed,1.0,151115.72,1129.35587,251,10.695100246439745
2024-05-29,Greed,1.0,84268.76,277.791953,164,4.9605585779682295
2024-05-30,Greed,1.0,2838.09,20.951433,7,3.7577088098581393
2024-05-31,Greed,1.0,3636.14,25.35812,13,3.8342365986890954
2024-06-01,Greed,1.0,12834.62,91.510419,25,7.909299454844354
